OrderNo|LineNumber|ProductID|VariationID|UnitPrice|UnitVat|Quantity
193-7199-9363|7|203041337|209991379|1545.0|154.5|1
193-7204-5676|1|203329431|210728926|591.0|59.1|1
279-5967-3414|4|13317473|39101054|1364.0|136.4|1
193-7206-9298|1|203040894|209990930|2179.5|217.95|2
279-6000-0959|7|13317473|39101054|1364.0|136.4|1
451-2842-3463|2|203041482|209991536|818.0|81.8|1
107-8439-8612|1|203040894|209990930|2273.0|227.3|1
107-8439-8944|13|203041177|209991216|1727.0|172.7|1
21-9262-8100|2|203294572|210680174|5000.0|500.0|1
451-2849-3349|4|203266406|210598050|800.0|80.0|3
107-8425-7340|1|203040894|209990930|2273.0|227.3|1
193-7213-8323|2|203041177|209991216|1727.0|172.7|1
107-8432-7972|3|202981807|209788978|1364.0|136.4|1
451-2841-7304|7|203041482|209991536|818.0|81.8|1
451-2845-9048|2|203040894|209990930|2273.0|227.3|1
193-7214-1635|1|203040894|209990930|2273.0|227.3|1
451-2848-3545|2|203266413|210598057|409.0|40.9|1
107-8433-1571|1|203329457|210729006|2273.0|227.3|1
107-8430-8137|2|203040895|209990931|5455.0|545.5|1
451-2848-8059|1|203266406|210598050|800.0|80.0|3
193-7206-9627|2|203266405|210598049|800.0|80.0|1
451-2845-9213|4|203041479|209991533|818.0|81.8|1
451-2849-0601|6|203126440|210206957|727.0|72.7|1
451-2846-4405|2|203040894|209990930|2273.0|227.3|1
451-2841-7304|4|203040890|209990926|2273.0|227.3|1
279-5966-7350|1|201197262|204299750|11727.0|1172.7|1
193-7206-9627|5|203266402|210598046|800.0|80.0|1
193-7199-9363|4|203294534|210680113|1000.0|100.0|1
107-8430-3144|12|203329417|210728912|1091.0|109.1|1
193-7199-5368|1|203040894|209990930|2273.0|227.3|1
107-8430-3144|14|203266418|210598062|409.0|40.9|1
451-2845-9048|3|203041337|209991379|1545.0|154.5|1
279-5966-7615|2|203185558|210444516|5000.0|500.0|1
107-8440-0746|6|203041178|209991217|1091.0|109.1|1
365-4389-7634|1|203294572|210680173|5000.0|500.0|1
193-7207-1377|6|203040894|209990930|2211.0|221.1|1
451-2848-4958|6|203185600|210444558|2273.0|227.3|1
107-8439-8944|15|203041482|209991536|818.0|81.8|1
193-7214-1526|8|203266405|210598049|800.0|80.0|1
107-8440-2820|6|203041482|209991536|818.0|81.8|1
193-7204-5676|2|203040894|209990930|2273.0|227.3|1
451-2846-0215|3|13378930|39762233|11727.0|1172.7|1
107-8440-2820|2|203040895|209990931|5455.0|545.5|1
193-7207-7351|2|203041178|209991217|1091.0|109.1|1
451-2846-7565|6|203185600|210444558|2273.0|227.3|1
193-7207-1647|4|203041178|209991217|1053.0|105.3|1
451-2849-2482|1|203040894|209990930|2273.0|227.3|1
451-2849-3349|3|203266405|210598049|800.0|80.0|1
451-2848-9144|7|203266405|210598049|800.0|80.0|1
451-2847-1132|1|203040896|209990932|2273.0|227.3|1
21-9284-8215|1|14415842|40515186|14455.0|1445.5|1
279-5966-9809|1|13378953|39762245|11727.0|1172.7|1
21-9284-6135|1|13375058|39746888|11727.0|1172.7|1
193-7207-1377|4|203266403|210598047|778.0|77.8|1
21-9262-7916|3|203401131|210890155|2091.0|209.1|2
107-8432-5389|7|203266404|210598048|800.0|80.0|1
193-7199-7787|4|203041482|209991536|818.0|81.8|1
107-8440-1478|3|203041334|209991376|1545.0|154.5|1
193-7206-2224|3|203329425|210728920|591.0|59.1|1
193-7199-9363|8|203040894|209990930|2273.0|227.3|1
365-4443-4593|1|13314170|38690024|1000.0|100.0|2
193-7199-7787|3|203041178|209991217|1091.0|109.1|1
193-7207-1647|6|203285907|210657202|526.33|52.63|3
451-2849-3349|5|14422503|40533954|2273.0|227.3|1
107-8433-1164|5|203266406|210598050|800.0|80.0|2
21-9285-3326|1|13378224|39760839|11727.0|1172.7|1
107-8433-5288|4|203294592|210680212|3600.0|360.0|1
451-2848-9226|4|203266406|210598050|800.0|80.0|1
107-8430-3144|10|203329430|210728925|591.0|59.1|1
279-5966-7615|1|13375091|39746906|11727.0|1172.7|1
193-7207-7351|3|203266405|210598049|800.0|80.0|1
193-7199-7429|4|203041482|209991536|818.0|81.8|1
107-8430-8137|4|203041178|209991217|1091.0|109.1|1
107-8440-0746|7|203041623|209991677|4545.0|454.5|1
451-2848-4958|7|203185628|210444586|818.0|81.8|1
365-4445-7852|4|202156525|207309400|800.0|80.0|1
193-7199-5729|1|203041482|209991536|818.0|81.8|2
107-8439-8944|14|203041178|209991217|1091.0|109.1|1
193-7206-2884|6|203329419|210728914|1042.0|104.2|1
193-7206-9627|9|203041482|209991536|818.0|81.8|1
193-7206-9298|3|203041178|209991217|1046.0|104.6|1
107-8430-3793|1|203329419|210728914|1091.0|109.1|1
365-4411-7032|3|202768704|209242151|11273.0|1127.3|1
193-7207-0290|3|203185593|210444551|2119.0|211.9|1
451-2848-4958|1|203266395|210598039|1545.0|154.5|1
193-7206-9298|5|203185628|210444586|784.5|78.45|2
451-2849-1979|1|203266406|210598050|800.0|80.0|2
279-6000-0959|3|201172850|204166423|1364.0|136.4|1
451-2841-7304|9|13315123|38692442|1800.0|180.0|1
193-7203-9253|6|203041337|209991379|1545.0|154.5|1
107-8432-5389|5|203266395|210598039|1545.0|154.5|1
451-2841-6965|3|203040890|209990926|2139.0|213.9|1
365-4411-9841|4|13310415|38675082|2727.0|272.7|1
193-7206-9627|1|203266401|210598045|800.0|80.0|1
107-8430-3144|7|203193582|210467161|1818.0|181.8|1
107-8425-7916|3|203041178|209991217|990.0|99.0|1
21-9316-1793|2|13317531|39100944|1364.0|136.4|1
451-2849-3349|1|203040894|209990930|2273.0|227.3|1
193-7206-2224|8|203185593|210444551|2273.0|227.3|1
451-2846-4764|1|203040894|209990930|2273.0|227.3|1
279-5966-9482|1|13375115|39747122|11727.0|1172.7|1
193-7204-9886|3|203040896|209990932|2273.0|227.3|1
365-4411-9841|3|13317488|39101063|1364.0|136.4|1
193-7207-1647|3|203266405|210598049|772.0|77.2|1
193-7206-9298|2|203041337|209991379|1482.0|148.2|1
451-2847-1132|2|203041483|209991537|818.0|81.8|1
21-9284-6914|2|13375078|39746902|11727.0|1172.7|1
107-8432-7972|5|203266393|210598037|1545.0|154.5|1
451-2842-0126|3|203040896|209990932|2273.0|227.3|1
